Day Number,L0,L1,L2,L3,L4,L5,L6
1675,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1680,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1685,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1690,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1695,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1700,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1705,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1710,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1715,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1720,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1725,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1730,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1735,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1740,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1745,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1750,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1755,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1760,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1765,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1770,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1775,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1780,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1785,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1790,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1795,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1800,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1805,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1810,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1815,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1820,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1825,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1830,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1835,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1840,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1845,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1850,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1855,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1860,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1865,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1870,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1875,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1880,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1885,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1890,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1895,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1900,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1905,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1910,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1915,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1920,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1925,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1930,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1935,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1940,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1945,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1950,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1955,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1960,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1965,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1970,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1975,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1980,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1985,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1990,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1995,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
2000,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
